,state,resorts_per_state,state_total_skiable_area_ac,state_total_days_open,state_total_terrain_parks,state_total_nightskiing_ac
0,Alaska,3,2280.0,345.0,2280.0,580.0
1,Arizona,2,1577.0,237.0,1577.0,80.0
2,California,21,25948.0,2738.0,25948.0,587.0
3,Colorado,22,43682.0,3258.0,43682.0,428.0
4,Connecticut,5,358.0,353.0,358.0,256.0
5,Idaho,12,16396.0,1136.0,16396.0,415.0
6,Illinois,4,191.0,221.0,191.0,191.0
7,Indiana,2,165.0,157.0,165.0,165.0
8,Iowa,3,140.0,100.0,140.0,140.0
9,Maine,9,3216.0,865.0,3216.0,388.0
10,Maryland,1,172.0,121.0,172.0,118.0
11,Massachusetts,11,1166.0,671.0,1166.0,583.0
12,Michigan,28,4406.0,2389.0,4406.0,1946.0
13,Minnesota,14,1560.0,1490.0,1560.0,1020.0
14,Missouri,2,60.0,69.0,60.0,47.0
15,Montana,12,21410.0,951.0,21410.0,710.0
16,Nevada,4,2110.0,415.0,2110.0,0.0
17,New Hampshire,16,3427.0,1847.0,3427.0,376.0
18,New Jersey,2,190.0,170.0,190.0,181.0
19,New Mexico,9,5223.0,966.0,5223.0,50.0
20,New York,33,5514.0,2384.0,5514.0,2836.0
21,North Carolina,6,370.0,506.0,370.0,335.0
22,Ohio,5,421.0,489.0,421.0,421.0
23,Oregon,10,11774.0,1180.0,11774.0,1127.0
24,Pennsylvania,19,1888.0,1404.0,1888.0,1528.0
25,Rhode Island,1,30.0,100.0,30.0,30.0
26,South Dakota,2,950.0,183.0,950.0,0.0
27,Tennessee,1,0.0,83.0,0.0,0.0
28,Utah,13,30508.0,1544.0,30508.0,642.0
29,Vermont,15,7239.0,1777.0,7239.0,50.0
30,Virginia,4,269.0,366.0,269.0,135.0
31,Washington,10,15330.0,1022.0,15330.0,1997.0
32,West Virginia,4,542.0,342.0,542.0,187.0
33,Wisconsin,15,1750.0,1519.0,1750.0,1065.0
34,Wyoming,8,6523.0,716.0,6523.0,110.0
